rev_title,author,author_reviews,ratingdate,text,visitdate,likes,rating
Amazing colorful tasty meal,PhilippeSunnyMIlliat,14 reviews,"Reviewed May 29, 2014 ","A surprise for your eyes, your nose, and your tongue. Just let it go with the flow. I had the chance to taste creative food, with very fresh quality product and the inspiration of the Chef Bertrand Grebaut.",Date of visit: May 2014,,5
Experience total,Dondanne79,,"Reviewed May 25, 2014 ","I Had a recommendation to go to Septime, which I did, everything from decor, staff, food, wine is way above average.
Here is a strict line and a clear focus what Septime wants to achieve and they do.
There is one set menu at 58 Euro, which is the way You eat here.
This is the way for the chef to make sure that everything is perfectly fresh and in season.
Great innovative dishes with great balance between sweet, sour, salt, bitter and umami also the dishes are made with finesse and different textures which makes every dish exciting.

The wines they serve here is all made with healthy grapes, organic or biodynamic, some wines with a bit sulfite added and some is natural. All selected with love and passion.
Also other handpicked drinks in case You prefer other stuff than wine.

The greatest thing about Septime is the staff, I was a lone eater and was treated as well as the other guests. The buzz is really warm and loud with a lot of laughter.
The waiters & chef worked all together as one team, sharing laughs, presenting dishes and clearing plates.
The staff is all very knowledgeable and speaks very good English.

The setting is cosy, rustic with a very warm atmosphere.
You will step straight into the bar when opening the doors and the kitchen will be an open one.

Septime is all about a great experience, with a light, interesting and innovative cousine in a good atmosphere created by the great staff.

Don´t miss this one if You go to Paris!",Date of visit: April 2014,5  ,5
brilliant,CR80,,"Reviewed May 22, 2014 ","Eating ""carte blanche"" is always risky, as they can't always meet everyone's taste. In our case, my wife was overly happy with the menu they served on that evening, while it didn't exactly include my favourites - nevertheless, I very much appreciated its quality and creativity.
The atmosphere is relaxed, and staff is very friendly.
For 58 Euro the menu is a bargain (not only for Paris), and I will definitely try to get another reservation on my next trip to Paris.

I need to say though, that the hype seems to be a bit exaggerated. There are equally brilliant restaurants and chefs in other cities and countries, with a similar concept (modernized local cuisine, in a laid-back atmosphere), that don't make it even near any ""Best Restaurants of the World"" list - probably because they just don't happen to be placed in Paris/France.
But as I said - the menu is reasonably priced, so you don't have to pay extra for the hype, and I would highly recommend a visit!",Date of visit: May 2014,1  ,4
Phenominal,269jimg,,"Reviewed May 20, 2014 ","My wife and I enjoy eating, but it is not a passion. As a result, there are less than a handful of restaurants in the world that we would go out of our way to go back to. Septime is one of those restaurants. We can't say enough about the quality, value and creativity of the food. How this is not one of the top rated restaurants in Paris is beyond me.",Date of visit: May 2014,1  ,5
Wow,fwv3,73 reviews,"Reviewed May 17, 2014 ","This restaurant deserves all the accolades it gets. The best meal and restaurant experience on this trip. The food, wine, service, staff and ambiance are all stellar. A must go!",Date of visit: May 2014,,5
disappointing,adis112014,9 reviews,"Reviewed May 16, 2014 ",,Date of visit: May 2014,2  ,2
Fabulous,Heather2515,,"Reviewed May 13, 2014 ",I booked on line 3 weeks ahead for a lunch celebration with my partner and daughter. We all enjoyed our 3 course selection and were grateful to our waiter for suggesting the pork which was outstanding. Portion sizes are generous and at €28 very good value.. This is modern French food at its best with the ingredients leading the way.,Date of visit: May 2014,1  ,5
exceptional experience in paris,AHY2014,,"Reviewed May 10, 2014 ","came here with some friends as i was told by a friend of the amazing food they served here, and surely enough I was not disappointed. Using a modern approach, they bring fresh ingredients to the table, French of course! The atmosphere was charming and the service was average. Be sure to book early as possible as its usually impossible to walk in and get a table!",Date of visit: April 2014,2  ,4
excellent modern French,julie f,,"Reviewed May 9, 2014 ","As excited as I was to try French food, I was scared of super buttery and heavy sauces, so I went for a more modern approach. Septime is the so-called ""in"" place in Paris for well-done, modern French cuisine and the fun part--the 5 course menu is a surprise! You just get what's on the menu for that day. Good food, good wine, knowledgeable staff, and amaaaaaaaazing deserts.",Date of visit: April 2014,,5
looooooooooooved it,dee622,,"Reviewed May 4, 2014 ","hands down our best meal in paris. i had to stalk the reservation system to get a table. first, i speak terrible french and the staff explained everything to me in english. i don't eat dairy and they changed up the recipe for me. my husband and i had a very wonderful time. great wine, great food. complete side note: the bathroom had real towels for you to dry your hands, which i loved.",Date of visit: April 2014,3  ,5
"Innovative kitchen, charming setting, and superb service for great value",ClintWorldWide,,"Reviewed May 2, 2014 ","I used to live in Paris years ago, and when one of my Parisian friends insisted on making a lunch reservation at Septime over a month in advance I wondered what all the fuss was about. She tends to have good taste, so I went along with it, expecting something elegant and expensive. It turns out that Septime is actually a Bistro setting and a great value of a meal of this quality. We did not get the multicourse meal but instead ordered from the menu. The entrees and deserts were all flawless and the service was friendly and efficient. Definite recommend.",Date of visit: March 2014,2  ,5
